S. No.,news_title,news_details,date,source_name,Event,Political Bias,Social Bias,Keywords,Comments
151,"देश के सबसे बड़े बैंकिंग घोटाले में ईडी की बड़ी कार्रवाई, एबीजी शिपयार्ड मामले में मनी लॉन्ड्रिंग जांच शुरू","ईडी महाराष्ट्र और गुजरात में एबीजी शिपयार्ड और उसके निदेशकों के परिसरों में 26 जगहों पर छापेमारी कर रही है. ये देश का सबसे बड़ा बैंकिंग घोटाला माना जा रहा है, जो 22 हज़ार करोड़ से ज्यादा का है. कंपनी ने 28 बैंकों से लोन लिया था. सीबीआई ने इस घोटाले को लेकर केस दर्ज किया था","मंगलवार अप्रैल 26, 2022 11:46 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
227,धन शोधन मामले में अग्रिम जमानत के लिए अदालत पहुंचे रॉबर्ट वाड्रा,रॉबर्ट वाड्रा ने प्रवर्तन निदेशालय द्वारा दर्ज धन शोधन के एक मामले में अग्रिम जमानत के लिए शुक्रवार को दिल्ली की एक अदालत का रुख किया. अभियोजन दल के अधिवक्ता ने पुष्टि की कि वाड्रा ने उस मामले में अग्रिम जमानत मांगी है जिसमें उनके करीबी सहयोगी मनोज अरोड़ा को अदालत ने 6 फरवरी तक गिरफ्तारी से अंतरिम संरक्षण दिया था.,"शुक्रवार फ़रवरी 1, 2019 11:32 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
237,धन शोधन मामले में अग्रिम जमानत के लिए अदालत पहुंचे रॉबर्ट वाड्रा,रॉबर्ट वाड्रा ने प्रवर्तन निदेशालय द्वारा दर्ज धन शोधन के एक मामले में अग्रिम जमानत के लिए शुक्रवार को दिल्ली की एक अदालत का रुख किया. अभियोजन दल के अधिवक्ता ने पुष्टि की कि वाड्रा ने उस मामले में अग्रिम जमानत मांगी है जिसमें उनके करीबी सहयोगी मनोज अरोड़ा को अदालत ने 6 फरवरी तक गिरफ्तारी से अंतरिम संरक्षण दिया था.,"शुक्रवार फ़रवरी 1, 2019 11:32 PM IST",NDTV News,Money Laundering,,,,
267,धन शोधन मामले में अग्रिम जमानत के लिए अदालत पहुंचे रॉबर्ट वाड्रा,रॉबर्ट वाड्रा ने प्रवर्तन निदेशालय द्वारा दर्ज धन शोधन के एक मामले में अग्रिम जमानत के लिए शुक्रवार को दिल्ली की एक अदालत का रुख किया. अभियोजन दल के अधिवक्ता ने पुष्टि की कि वाड्रा ने उस मामले में अग्रिम जमानत मांगी है जिसमें उनके करीबी सहयोगी मनोज अरोड़ा को अदालत ने 6 फरवरी तक गिरफ्तारी से अंतरिम संरक्षण दिया था.,"शुक्रवार फ़रवरी 1, 2019 11:32 PM IST",NDTV News,Money Laundering,,,,
162,"नवाब मलिक का इस्तीफा मांगने को लेकर ठाकरे ने साधा BJP पर निशाना, पीडीपी के साथ गठबंधन की दिलाई याद",बजट सत्र के आखिरी दिन विधानसभा में ठाकरे ने यह भी कहा कि वह 'हैरान' हैं कि केंद्रीय जांच एजेंसियों को इतने वर्षों में यह एहसास नहीं हुआ कि 'दाऊद इब्राहिम का एजेंट' मलिक खुलेआम घूम रहा था.,"शनिवार मार्च 26, 2022 05:47 AM IST",NDTV News,Money Laundering,Anti BJP ,Neutral,साधा BJP पर निशाना,
245,"नीरव मोदी की रिमांड पर सुनवाई, जेल से वीडियो लिंक के जरिए होगा पेश",मोदी की जमानत की अर्जी मुख्य मजिस्ट्रेट एम्मा अर्बुथनॉट ने 29 मार्च को इस आधार पर खारिज कर दी थी कि इस बात का काफी जोखिम हैं कि वह सरेंडर नहीं करेगा. इस तरह के मामले में न्यायिक रिमंड के लिए समयसीमा 28 दिन की होती है.,"शुक्रवार अप्रैल 26, 2019 06:00 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
255,"नीरव मोदी की रिमांड पर सुनवाई, जेल से वीडियो लिंक के जरिए होगा पेश",मोदी की जमानत की अर्जी मुख्य मजिस्ट्रेट एम्मा अर्बुथनॉट ने 29 मार्च को इस आधार पर खारिज कर दी थी कि इस बात का काफी जोखिम हैं कि वह सरेंडर नहीं करेगा. इस तरह के मामले में न्यायिक रिमंड के लिए समयसीमा 28 दिन की होती है.,"शुक्रवार अप्रैल 26, 2019 06:00 AM IST",NDTV News,Money Laundering,,,,
46,नेशनल हेराल्ड केस : 10 घंटे की पूछताछ के बाद ईडी दफ्तर से आवास पहुंचे राहुल गांधी,"इससे पहले दिल्ली पुलिस ने दोपहर को प्रदर्शन के लिए जुट रहे 459 कार्यकर्ताओं और वरिष्ठ नेताओं को हिरासत में ले लिया और उन्हें मंदिर मार्ग, तुगलक रोड और फतेहपुर बेरी पुलिस थाने ले गई. देर रात उन्हें रिहा किया गया. ईडी ने मंगलवार को भी राहुल गांधी को पूछताछ के लिए बुलाया है. ","Jun 14,2022, 1:34 AM IST",ZEE News,Money Laundering,Neutral,Neutral,,
98,"नेशनल हेराल्ड केस : ED ने राहुल गांधी से की 10 घंटे पूछताछ, मंगलवार को फिर किया तलब",Rahul Gandhi :ईडी ने राहुल गांधी को पूछताछ के लिए मंगलवार को भी तलब किया है. राहुल गांधी से नेशनल हेराल्ड अखबार से जुड़े कथित मनी लांड्रिंग केस (money laundering) में पूछताछ की गई है.,"मंगलवार जून 14, 2022 12:12 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
25,"नेशनल हेराल्ड दफ्तर में ED की छापेमारी, सोनिया और राहुल से हाल ही में हुई थी पूछताछ","National Herald Case:"" ED ने दिल्ली स्थित नेशनल हेराल्ड के ऑफिस पर छापा मारा है. छापे से पहले ईडी ने सोनिया गांधी और राहुल गांधी से कई दिनों तक लंबी पूछताछ की थी, जिसके खिलाफ कांग्रेस ने देशभर में विरोध-प्रदर्शन किया था.","Aug 2,2022, 12:25 PM IST",ZEE News,Money Laundering,Neutral,Neutral,कांग्रेस ने देशभर में विरोध-प्रदर्शन किया था.,
289,"नोटबंदी : एयरपोर्ट से रहस्यमयी ढंग से गायब हुआ 3.5 करोड़ रुपया बरामद, नगालैंड के नेता से पूछताछ",आयकर विभाग ने तकरीबन 10 करोड़ रुपये की नकदी और ज्‍वैलरी को नगालैंड के दीमापुर से जब्‍त किया है. मनी लांड्रिंग के इस केस में राज्‍य के एक प्रभावशाली नेता के बेटे की संलिप्‍तता का मामला सामने आया है.,"शुक्रवार नवम्बर 25, 2016 07:28 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
277,"नोटबंदी के बाद 3,700 से अधिक मनी लॉन्ड्रिंग और फेमा मामलों की जांच कर रहा है प्रवर्तन निदेशालय","नोटबंदी के बाद प्रवर्तन निदेशालय (ईडी) 3,700 से अधिक मनी लॉन्ड्रिंग और हवाला सौदों की जांच कर रहा है. इन मामलों से 9,935 करोड़ रुपये की संपत्ति जुड़ी है. गुरुवार को एक आधिकारिक रिपोर्ट में कहा गया कि नोटबंदी के बाद काले धन के सृजन पर अपनी कार्रवाई के तहत इन मामलो की जांच कर रहा है. केंद्रीय जांच एजेंसी ने इन मामलों में जोखिम आकलन का भी काम किया है. पिछले साल आठ नवंबर को नोटबंदी के बाद ये मामले दर्ज हुए हैं. ","गुरुवार नवम्बर 9, 2017 11:53 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
62,नोरा फतेही को गवाह बनाने पर अभिनेत्री जैकलीन फर्नांडीज ने लगाया पक्षपात का आरोप,कथित ठग सुकेश चंद्रशेखर से जुड़े 200 करोड़ रुपये के धन शोधन मामले में प्रवर्तन निदेशालय (ईडी) द्वारा दायर एक अनुपूरक आरोपपत्र में बॉलीवुड अभिनेत्री जैकलीन फर्नांडीज को आरोपी बनाया गया है.,"गुरुवार अगस्त 25, 2022 12:03 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
2,"पटियाला कोर्ट से जैकलीन को बड़ी राहत, 50,000 के निजी मुचलके पर जमानत",जैकलीन फर्नांडीस को 200 करोड़ के मनी लॉन्ड्रिंग मामले में पटियाला हाउस कोर्ट ने बड़ी राहत दी है. कोर्ट ने मामले में जैकलीन को 50 हजार के निजी मुचलके पर जमानत दे दी. मामले में अब अगली सुनवाई 22 अक्टूबर को होगी.,"Sep 26,2022, 11:41 AM IST",ZEE News,Money Laundering,Neutral,Neutral,,
101,"पाकिस्तान के PM शहबाज शरीफ ने कोर्ट में खुद को बताया 'मजनू', जानें- पूरा मामला",पाकिस्तान (Pakistan) के प्रधानमंत्री शहबाज शरीफ (Shehbaz Sharif) ने अपने खिलाफ दर्ज 16 अरब पाकिस्तानी रुपये के धनशोधन मामले में शनिवार को एक विशेष अदालत में कहा कि पंजाब का मुख्यमंत्री रहने के दौरान उन्होंने वेतन तक नहीं लिया और उन्होंने ऐसा ‘‘मजनू’’ होने के कारण किया.,"शनिवार मई 28, 2022 04:31 PM IST",NDTV News,Money Laundering,,,,
111,"पाकिस्तान के PM शहबाज शरीफ ने कोर्ट में खुद को बताया 'मजनू', जानें- पूरा मामला",पाकिस्तान (Pakistan) के प्रधानमंत्री शहबाज शरीफ (Shehbaz Sharif) ने अपने खिलाफ दर्ज 16 अरब पाकिस्तानी रुपये के धनशोधन मामले में शनिवार को एक विशेष अदालत में कहा कि पंजाब का मुख्यमंत्री रहने के दौरान उन्होंने वेतन तक नहीं लिया और उन्होंने ऐसा ‘‘मजनू’’ होने के कारण किया.,"शनिवार मई 28, 2022 04:31 PM IST",NDTV News,Money Laundering,,,,
131,"पाकिस्तान के PM शहबाज शरीफ ने कोर्ट में खुद को बताया 'मजनू', जानें- पूरा मामला",पाकिस्तान (Pakistan) के प्रधानमंत्री शहबाज शरीफ (Shehbaz Sharif) ने अपने खिलाफ दर्ज 16 अरब पाकिस्तानी रुपये के धनशोधन मामले में शनिवार को एक विशेष अदालत में कहा कि पंजाब का मुख्यमंत्री रहने के दौरान उन्होंने वेतन तक नहीं लिया और उन्होंने ऐसा ‘‘मजनू’’ होने के कारण किया.,"शनिवार मई 28, 2022 04:31 PM IST",NDTV News,Money Laundering,,,,
303,पाकिस्तान के पूर्व PM नवाज शरीफ के खिलाफ मनी लॉन्ड्रिंग मामले में नई जांच शुरू,पाकिस्तान के बेदखल प्रधानमंत्री नवाज शरीफ के खिलाफ एक पत्रकार की शिकायत पर वहां की भ्रष्टाचार रोधी इकाई ने एक नया जांच शुरू किया है. एक मीडिया रिपोर्ट के अनुसार पत्रकार ने शरीफ परिवार द्वारा 1988 से 1991 के बीच 5.6 करेाड़ रुपये से अधिक देश से बाहर भेजने की शिकायत की थी.,"रविवार जून 17, 2018 11:07 PM IST",NDTV News,Money Laundering,,,,
5,"पार्थ चटर्जी के खिलाफ ED का बड़ा एक्शन, टीचर भर्ती घोटाले में लिप्त हैं पूर्व मंत्री",Teacher Recruitment Scam: पश्चिम बंगाल के पूर्व मंत्री पार्थ चटर्जी (Partha Chatterjee) और उनकी करीबी अर्पिता मुखर्जी (Arpita Mukherjee) की प्रवर्तन निदेशालय (ED) ने 48.22 करोड़ की संपत्ति अटैच की है.,"Sep 19,2022, 15:51 PM IST",ZEE News,Money Laundering,Neutral,Neutral,,
203,पी. चिदंबरम से पूछताछ करने आज तिहाड़ जेल पहुंचेगी ED की टीम,आईएनएक्स मीडिया मनी लॉन्ड्रिंग मामले में आरोपी पूर्व केंद्रीय पी. चिदंबरम से पूछताछ के लिए प्रवर्तन निदेशालय की टीम शुक्रवार को तिहाड़ जेल पहुंचेगी. ईडी को कोर्ट ने 22 और 23 नवंबर में पूछताछ की अनुमति दी है.,"शुक्रवार नवम्बर 22, 2019 10:48 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
187,पूर्व गृह मंत्री देशमुख के आदेश पर उनके सहायकों को दिए पैसे' : सचिन वाजे ने जांच पैनल को बताया,"सचिन वाजे ने दावा किया, “मुझे तत्कालीन गृह मंत्री अनिल देशमुख द्वारा हमेशा गंभीर मानसिक प्रताड़ना और उत्पीड़न का शिकार होना पड़ा है.” वाजे के हलफनामे में कहा गया, “मैं देशमुख के हाथों ‘स्टॉकहोम सिंड्रोम’ से पीड़ित हूं, जो आज भी मुझ पर, मेरे जीवन, मेरे भविष्य और मेरे आसपास की परिस्थितियों पर जबरदस्त शक्ति और दबदबा रखते हैं.”","गुरुवार फ़रवरी 10, 2022 03:20 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
229,पूर्व मुख्यमंत्री वीरभद्र सिंह के आवेदन पर अदालत ने ईडी से मांगा जवाब,"अन्य आरोपियों में वीरभद्र की पत्नी प्रतिभा सिंह, एलआईसी एजेंट आनंद चौहान आदि शामिल हैं. ईडी की ओर से पेश विशेष सरकारी वकील एन के मट्टा और नीतेश राणा ने जवाब दाखिल करने के लिए अदालत से छह हफ्ते का समय मांगा था, लेकिन अदालत ने कहा कि छह हफ्ते का समय बहुत अधिक होगा और उसने बस दो हफ्ते का समय दिया. सुनवाई के दौरान आरोपियों द्वारा दाखिल आवेदनों की प्रतियां ईडी की ओर से वकील सामवेदना वर्मा ने प्राप्त कीं.","शुक्रवार सितम्बर 21, 2018 05:24 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
239,पूर्व मुख्यमंत्री वीरभद्र सिंह के आवेदन पर अदालत ने ईडी से मांगा जवाब,"अन्य आरोपियों में वीरभद्र की पत्नी प्रतिभा सिंह, एलआईसी एजेंट आनंद चौहान आदि शामिल हैं. ईडी की ओर से पेश विशेष सरकारी वकील एन के मट्टा और नीतेश राणा ने जवाब दाखिल करने के लिए अदालत से छह हफ्ते का समय मांगा था, लेकिन अदालत ने कहा कि छह हफ्ते का समय बहुत अधिक होगा और उसने बस दो हफ्ते का समय दिया. सुनवाई के दौरान आरोपियों द्वारा दाखिल आवेदनों की प्रतियां ईडी की ओर से वकील सामवेदना वर्मा ने प्राप्त कीं.","शुक्रवार सितम्बर 21, 2018 05:24 PM IST",NDTV News,Money Laundering,,,,
269,पूर्व मुख्यमंत्री वीरभद्र सिंह के आवेदन पर अदालत ने ईडी से मांगा जवाब,"अन्य आरोपियों में वीरभद्र की पत्नी प्रतिभा सिंह, एलआईसी एजेंट आनंद चौहान आदि शामिल हैं. ईडी की ओर से पेश विशेष सरकारी वकील एन के मट्टा और नीतेश राणा ने जवाब दाखिल करने के लिए अदालत से छह हफ्ते का समय मांगा था, लेकिन अदालत ने कहा कि छह हफ्ते का समय बहुत अधिक होगा और उसने बस दो हफ्ते का समय दिया. सुनवाई के दौरान आरोपियों द्वारा दाखिल आवेदनों की प्रतियां ईडी की ओर से वकील सामवेदना वर्मा ने प्राप्त कीं.","शुक्रवार सितम्बर 21, 2018 05:24 PM IST",NDTV News,Money Laundering,,,,
291,"प्रवर्तन निदेशालय की माल्या पर बड़ी कार्रवाई, 6,630 करोड़ रुपये की संपत्ति कुर्क की","प्रवर्तन निदेशालय ने समस्याओं में फंसे व्यवसायी विजय माल्या की 6,630 करोड़ रुपये की संपत्ति कुर्क करने का आदेश शनिवार को दिया. माल्या की संपत्ति कुर्क करने के संबंध में निदेशालय का यह दूसरा आदेश है.","शनिवार सितम्बर 3, 2016 06:02 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
296,प्रवर्तन निदेशालय ने महाराष्ट्र सदन घोटाले में एनसीपी नेता छगन भुजबल को तलब किया,प्रवर्तन निदेशालय ने अपना फंदा कसते हुए धन शोधन मामले की जांच के संबंध में महाराष्ट्र के पूर्व लोक निर्माण मंत्री एवं राकांपा नेता छगन भुजबल को 14 मार्च को तलब किया है। एजेंसी मामले में धन शोधन रोकथाम कानून के तहत उनके बयान दर्ज कर सकती है।,"मंगलवार मार्च 8, 2016 10:55 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
153,प्रियंका गांधी से 2 करोड़ की पेंटिंग खरीदने को किया गया था मजबूर'- ED की चार्जशीट में राणा कपूर का दावा,आरोप पत्र के मुताबिक कपूर ने ईडी को बताया कि तत्कालीन पेट्रोलियम मंत्री मुरली देवड़ा ने कहा था कि यदि राणा कपूर ने एम एफ हुसैन की पेंटिंग को खरीदने से मना किया तो न केवल इससे गांधी परिवार से संबंधों को बनाने में बाधा उत्पन्न होगी बल्कि उससे ‘पद्म’ सम्मान प्राप्त करने में कठिनाई होगी.,"रविवार अप्रैल 24, 2022 11:22 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
248,"बड़ी मुश्किल में फंस सकते हैं रॉबर्ट वाड्रा, मनी लॉन्ड्रिंग और जमीन सौदों से जुड़े गंभीर आरोपों में कसता जा रहा है शिकंजा",कांग्रेस अध्यक्ष राहुल गांधी के बहनोई रॉबर्ट वाड्रा की मुश्किलें जल्द समाप्त होने वाली नहीं हैं क्योंकि जांच एजेंसियां उनकी स्काइलाइट हॉस्पिटेलिटी कंपनी से जुड़े विभिन्न मामलों में आने वाले दिनों में फिर उनसे पूछताछ कर सकती हैं. हाल ही में प्रवर्तन निदेशालय (ईडी) ने मनी लॉन्ड्रिंग के मामले में रॉबर्ट वाड्रा से तीन दिनों तक पूछताछ की.,"मंगलवार फ़रवरी 12, 2019 04:36 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
258,"बड़ी मुश्किल में फंस सकते हैं रॉबर्ट वाड्रा, मनी लॉन्ड्रिंग और जमीन सौदों से जुड़े गंभीर आरोपों में कसता जा रहा है शिकंजा",कांग्रेस अध्यक्ष राहुल गांधी के बहनोई रॉबर्ट वाड्रा की मुश्किलें जल्द समाप्त होने वाली नहीं हैं क्योंकि जांच एजेंसियां उनकी स्काइलाइट हॉस्पिटेलिटी कंपनी से जुड़े विभिन्न मामलों में आने वाले दिनों में फिर उनसे पूछताछ कर सकती हैं. हाल ही में प्रवर्तन निदेशालय (ईडी) ने मनी लॉन्ड्रिंग के मामले में रॉबर्ट वाड्रा से तीन दिनों तक पूछताछ की.,"मंगलवार फ़रवरी 12, 2019 04:36 PM IST",NDTV News,Money Laundering,,,,
299,"बीजेपी का दावा: कांग्रेस-हवाला लिंक का हुआ खुलासा, अब पता चला कांग्रेस नोटबंदी के समय क्यों रो रही थी...","कांग्रेस नेता डीके शिवकुमार के खिलाफ प्रवर्तन निदेशालय द्वारा दायर किये गये धनशोधन मामले पर अब बीजेपी हमलावर हो गई है. भारतीय जनता पार्टी के प्रवक्ता संबित पात्रा ने कांग्रेस पर बड़ा हमला बोला और कांग्रेस को भ्रष्टाचार का पर्याय बताया है. संबित पात्रा ने कहा कि कांग्रेस और भ्रष्टाचार अब पर्याय बन चुके हैं. अनधिकृत नकद, हवाला लेनदेन और भ्रष्ट सौदों, ये पिलर्स हैं, जिन पर कांग्रेस पार्टी टिकी है. ","बुधवार सितम्बर 19, 2018 03:31 PM IST",NDTV News,Money Laundering,Anti Congress,Neutral,,
171,"बॉलीवुड एक्ट्रेस शिल्पा शेट्टी और श्रद्धा कपूर से भी जुड़े सुकेश चंद्रशेखर के तार, ED का खुलासा","दिल्ली की पटियाला हाउस कोर्ट ने हाल ही में 200 करोड़ रुपये के मनी लॉन्ड्रिंग मामले में सुकेश चंद्रशेखर, पत्नी लीना मारिया पॉल और अन्य के खिलाफ दायर ईडी की चार्जशीट पर संज्ञान लिया है. फिलहाल सभी आरोपी न्यायिक हिरासत में हैं.","रविवार दिसम्बर 19, 2021 10:54 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
206,"भतीजे अजीत पवार के विधानसभा छोड़ने के फैसले पर बोले शरद पवार, मुलाकात कर उन्हें समझाउंगा","शरद पवार ने यह भी कहा कि परिवार के अंदर कोई विवाद नहीं है. पवार ने हालांकि कहा कि अजित के बेटे ने उन्हें बताया कि ED की तरफ से मनी लॉन्ड्रिंग मामले में एनसीपी प्रमुख का नाम लेने पर महाराष्ट्र के पूर्व उपमुख्यमंत्री 'बेचैन' थे. पवार ने पुणे में पत्रकारों से बातचीत में परिवार के भीतर विवाद की खबरों को भी खारिज किया. उन्होंने कहा, 'कोई विवाद नहीं है. सभी पारिवारिक मामलों में मेरा फैसला अंतिम शब्द होता है.' ","शनिवार सितम्बर 28, 2019 03:24 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
6,मंत्री सत्येंद्र जैन के खिलाफ मनी लॉन्ड्रिंग केस में चल रही कार्रवाई पर लगी रोक,"Satyendara Jain: मनी लॉन्ड्रिंग केस में दिल्ली के स्वास्थ्य मंत्री सत्येंद्र जैन के खिलाफ चल रही कार्रवाई पर रोक लगा दी गई है, ED ने इस मामले को सुनवाई स्पेशल जज गीताजंलि गोयल के कोर्ट से दूसरे कोर्ट में ट्रांसफर करने की मांग की है. ED के द्वारा पूरी सुनवाई दूसरे कोर्ट में ट्रासंफर करने की मांग ऐसे वक्त में की गई है, जब उनकी जमानत अर्जी पर सुनवाई अंतिम चरण में थी. इस फैसले के बाद अब जमानत याचिका पर सुनवाई पर भी रोक रहेगी. अगली सुनवाई 30 सितंबर को होगी.","Sep 19,2022, 12:09 PM IST",ZEE News,Money Laundering,Neutral,Neutral,,
156,मनी लांड्रिंग केस : गिरफ्तारी के खिलाफ नवाब मलिक की याचिका पर जल्द सुनवाई को तैयार हुआ सुप्रीम कोर्ट,सुप्रीम कोर्ट महाराष्ट्र सरकार के मंत्री नवाब मलिक की याचिका पर जल्द सुनवाई को तैयार हो गया है. ये मामला दाऊद इब्राहिम से जुड़े मनी लांड्रिंग का है. दायर याचिका में नवाब मलिक ने तत्काल रिहाई की मांग कोर्ट से की है.,"बुधवार अप्रैल 13, 2022 11:46 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
308,"मनी लांड्रिंग केस: मीसा भारती ने कहा, आरोपी फर्म की कारोबारी गतिविधियों के लिए पति व सीए जिम्मेदार","प्रवर्तन निदेशालय कहना है कि मुखौटा कंपनियों के जरिए 1.2 करोड़ रुपये की मनी लांड्रिंग के षडयंत्र में यह दंपत्ति ‘सक्रिय रूप से शामिल’ था. मीसा, राजद अध्यक्ष और बिहार के पूर्व मुख्यमंत्री लालू यादव की बेटी है.","सोमवार मार्च 5, 2018 09:04 AM IST",NDTV News,Money Laundering,Neutral,Neutral,Anti Rashtriya Janta Dal,
161,"मनी लांड्रिंग मामला : ED ने पत्रकार राणा अयूब को विदेश जाने से रोका, एयरपोर्ट पर ही की गई पूछताछ",प्रवर्तन निदेशालय (ED) द्वारा पत्रकार राणा अयूब के खिलाफ जारी ‘लुक आउट सर्कुलर’ के मद्देनजर उन्हें मंगलवार को मुंबई इंटरनेशनल एयरपोर्ट पर अधिकारियों ने विदेश रवाना होने से रोक दिया. अधिकारियों ने यह जानकारी दी.,"मंगलवार मार्च 29, 2022 11:42 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
60,"मनी लांड्रिंग मामला : जैकलीन फर्नांडिस से 8 घंटे तक हुए सवाल, कल नोरा फतेही को पूछताछ के लिए बुलाया गया",दिल्ली पुलिस की आर्थिक अपराध शाखा यानी EOW जैकलीन फर्नांडिस से 200 करोड़ के मनी लॉन्डरिंग केस में आज पूछताछ कर रही थी.,"बुधवार सितम्बर 14, 2022 08:57 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
155,"मनी लांड्रिंग मामला: एमवे इंडिया पर ED की बड़ी कार्रवाई, 757 करोड़ रुपये की संपत्ति जब्‍त की","धन शोधन निवारण अधिनियम (PMLA) के तहत कुर्क कुल 757.77 करोड़ रुपये की संपत्ति में से, अचल और चल संपत्ति 411.83 करोड़ रुपये की है, जबकि शेष एमवे से संबंधित 36 बैंक खातों में जमा 345.94 करोड़ रुपये की राशि है.","सोमवार अप्रैल 18, 2022 07:32 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
53,मनी लांड्रिंग मामले में टॉप्स ग्रुप के प्रमोटर और पूर्व एमडी को राहत देने से कोर्ट का इनकार,चंडोले और शशिधरन सुप्रीम कोर्ट के हाल के इस आदेश के आलोक में जेल से रिहा करने की मांग की कि यदि पहले से किसी अन्य एजेंसी द्वारा दर्ज प्रथम सूचना रिपोर्ट नहीं है तो धनशोधन रोकथाम अधिनियम (पीएमएलए) के तहत मामला जारी नहीं रह सकता है. PMLA के प्रावधानों के तहत किसी व्यक्ति के विरुद्ध ईडी की कार्रवाई शुरू करने के लिए ‘अनुसूचित अपराध’ का होना जरूरी है.,"बुधवार सितम्बर 21, 2022 09:18 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
166,मनी लांड्रिंग मामले में महाराष्‍ट्र के मंत्री नवाब मलिक को 7 मार्च तक ED की हिरासत में भेजा गया,"सुनवाई की शुरुआत करते हुए एडिशनल सॉलिस्टिर जनरल (एएसजी) अनिल सिंह ने कहा कि ईडी की हिरासत के बीच नवाब मलिक की तबीयत खराब होने के वजह से उन्हें कुछ समय के लिए अस्पताल में भर्ती करना पड़ा, जिसके वजह से पूरी इन्क्वारी नहीं हो पाई.","गुरुवार मार्च 3, 2022 03:46 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
226,मनी लांड्रिंग मामले में राबर्ट वाड्रा ने अग्रिम जमानत के लिए अदालत का रूख किया,"ईडी ने इन आरोपों का खारिज कर दिया था और कहा था, ""क्या किसी भी अधिकारी को किसी भी राजनीतिक रूप से बड़े व्यक्ति की जांच नहीं करनी चाहिए क्योंकि इसे राजनीतिक प्रतिशोध कहा जाएगा?"" जांच एजेंसी ने अदालत को बताया था कि भगोड़े हथियार व्यापारी संजय भंडारी के खिलाफ आयकर विभाग काला धन अधिनियम एवं कर कानून के तहत जांच कर रहा है. इसी दौरान अरोड़ा की भूमिका सामने आयी और इसके आधार पर धन शोधन का मामला दर्ज किया गया था.","शनिवार फ़रवरी 2, 2019 03:12 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
236,मनी लांड्रिंग मामले में राबर्ट वाड्रा ने अग्रिम जमानत के लिए अदालत का रूख किया,"ईडी ने इन आरोपों का खारिज कर दिया था और कहा था, ""क्या किसी भी अधिकारी को किसी भी राजनीतिक रूप से बड़े व्यक्ति की जांच नहीं करनी चाहिए क्योंकि इसे राजनीतिक प्रतिशोध कहा जाएगा?"" जांच एजेंसी ने अदालत को बताया था कि भगोड़े हथियार व्यापारी संजय भंडारी के खिलाफ आयकर विभाग काला धन अधिनियम एवं कर कानून के तहत जांच कर रहा है. इसी दौरान अरोड़ा की भूमिका सामने आयी और इसके आधार पर धन शोधन का मामला दर्ज किया गया था.","शनिवार फ़रवरी 2, 2019 03:12 AM IST",NDTV News,Money Laundering,,,,
266,मनी लांड्रिंग मामले में राबर्ट वाड्रा ने अग्रिम जमानत के लिए अदालत का रूख किया,"ईडी ने इन आरोपों का खारिज कर दिया था और कहा था, ""क्या किसी भी अधिकारी को किसी भी राजनीतिक रूप से बड़े व्यक्ति की जांच नहीं करनी चाहिए क्योंकि इसे राजनीतिक प्रतिशोध कहा जाएगा?"" जांच एजेंसी ने अदालत को बताया था कि भगोड़े हथियार व्यापारी संजय भंडारी के खिलाफ आयकर विभाग काला धन अधिनियम एवं कर कानून के तहत जांच कर रहा है. इसी दौरान अरोड़ा की भूमिका सामने आयी और इसके आधार पर धन शोधन का मामला दर्ज किया गया था.","शनिवार फ़रवरी 2, 2019 03:12 AM IST",NDTV News,Money Laundering,,,,
